EmployeeID,Gender,Age,BusinessTravel,Department,DistanceFromHomeKM,Education,EducationField,JobRole,Salary,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrentManager,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
3012-1A41,Female,30,Some Travel,Sales,27,5,Marketing,Sales Executive,102059,No,03-01-2012,No,10,4,9,7,30-10-2016,3,3,2,3,0,4,3,3
3012-1A41,Female,30,Some Travel,Sales,27,5,Marketing,Sales Executive,102059,No,03-01-2012,No,10,4,9,7,30-10-2017,4,4,5,3,1,2,3,2
79F7-78EC,Non-Binary,27,Some Travel,Sales,37,4,Marketing ,Sales Executive,141998,Yes,14-12-2013,Yes,5,5,5,1,02-01-2013,5,4,5,1,0,4,4,4
79F7-78EC,Non-Binary,27,Some Travel,Sales,37,4,Marketing ,Sales Executive,141998,Yes,14-12-2013,Yes,5,5,5,1,01-01-2017,2,3,1,3,1,4,5,4
79F7-78EC,Non-Binary,27,Some Travel,Sales,37,4,Marketing ,Sales Executive,141998,Yes,14-12-2013,Yes,5,5,5,1,02-01-2014,5,2,2,1,1,5,4,4
79F7-78EC,Non-Binary,27,Some Travel,Sales,37,4,Marketing ,Sales Executive,141998,Yes,14-12-2013,Yes,5,5,5,1,01-01-2018,5,2,5,1,1,2,4,3
CBCB-9C9D,Male,38,Some Travel,Sales,23,4,Marketing,Sales Executive,157718,Yes,04-01-2012,No,10,6,10,0,30-07-2016,3,3,2,2,0,5,4,4
CBCB-9C9D,Male,38,Some Travel,Sales,23,4,Marketing,Sales Executive,157718,Yes,04-01-2012,No,10,6,10,0,30-07-2017,3,5,5,2,0,2,4,3
B61E-0F26,Male,28,Frequent Traveller,Technology,3,3,Business Studies,Software Engineer,58993,Yes,07-11-2014,Yes,7,2,7,1,03-01-2013,5,4,4,1,3,4,4,3
B61E-0F26,Male,28,Frequent Traveller,Technology,3,3,Business Studies,Software Engineer,58993,Yes,07-11-2014,Yes,7,2,7,1,02-01-2017,1,1,4,1,2,4,5,4
B61E-0F26,Male,28,Frequent Traveller,Technology,3,3,Business Studies,Software Engineer,58993,Yes,07-11-2014,Yes,7,2,7,1,03-01-2014,4,4,4,3,2,4,5,4
B61E-0F26,Male,28,Frequent Traveller,Technology,3,3,Business Studies,Software Engineer,58993,Yes,07-11-2014,Yes,7,2,7,1,02-01-2018,4,4,2,2,1,4,4,3
95D7-1CE9,Male,43,Some Travel,Human Resources,29,4,Marketing ,HR Business Partner,309964,No,04-01-2012,No,10,6,10,8,08-04-2016,3,3,2,1,0,2,3,2
95D7-1CE9,Male,43,Some Travel,Human Resources,29,4,Marketing ,HR Business Partner,309964,No,04-01-2012,No,10,6,10,8,08-04-2017,4,4,3,2,2,5,4,4
95D7-1CE9,Male,43,Some Travel,Human Resources,29,4,Marketing ,HR Business Partner,309964,No,04-01-2012,No,10,6,10,8,08-04-2018,5,4,4,2,2,5,3,2
F5E3-48BB,Female,25,Frequent Traveller,Human Resources,3,3,Human Resources,Recruiter,23547,No,13-01-2015,Yes,3,0,2,1,03-01-2013,3,4,5,3,2,3,5,4
F5E3-48BB,Female,25,Frequent Traveller,Human Resources,3,3,Human Resources,Recruiter,23547,No,13-01-2015,Yes,3,0,2,1,02-01-2017,2,2,3,1,2,1,5,4
F5E3-48BB,Female,25,Frequent Traveller,Human Resources,3,3,Human Resources,Recruiter,23547,No,13-01-2015,Yes,3,0,2,1,03-01-2014,4,3,2,2,1,3,4,4
F5E3-48BB,Female,25,Frequent Traveller,Human Resources,3,3,Human Resources,Recruiter,23547,No,13-01-2015,Yes,3,0,2,1,02-01-2018,4,2,4,1,2,3,3,3
47A0-559B,Non-Binary,39,Some Travel,Technology,12,3,Computer Science,Engineering Manager,293132,No,05-01-2012,No,10,10,10,0,27-03-2016,3,5,3,3,0,2,3,3
47A0-559B,Non-Binary,39,Some Travel,Technology,12,3,Computer Science,Engineering Manager,293132,No,05-01-2012,No,10,10,10,0,27-03-2017,4,5,5,1,1,5,4,3
47A0-559B,Non-Binary,39,Some Travel,Technology,12,3,Computer Science,Engineering Manager,293132,No,05-01-2012,No,10,10,10,0,27-03-2018,4,3,4,3,1,2,4,4
0678-748A,Male,25,Some Travel,Sales,4,2,Economics,Sales Executive,57698,Yes,11-05-2015,Yes,6,5,6,2,04-01-2013,5,3,2,2,0,2,3,2
0678-748A,Male,25,Some Travel,Sales,4,2,Economics,Sales Executive,57698,Yes,11-05-2015,Yes,6,5,6,2,03-01-2017,3,2,3,3,2,2,3,3
0678-748A,Male,25,Some Travel,Sales,4,2,Economics,Sales Executive,57698,Yes,11-05-2015,Yes,6,5,6,2,04-01-2014,5,3,5,3,3,4,3,2
0678-748A,Male,25,Some Travel,Sales,4,2,Economics,Sales Executive,57698,Yes,11-05-2015,Yes,6,5,6,2,03-01-2018,4,2,4,3,2,5,4,3
42CC-040A,Female,29,Some Travel,Human Resources,29,2,Technical Degree,Recruiter,49606,No,05-01-2012,Yes,6,1,1,6,13-05-2016,4,3,2,1,0,5,3,2
42CC-040A,Female,29,Some Travel,Human Resources,29,2,Technical Degree,Recruiter,49606,No,05-01-2012,Yes,6,1,1,6,14-05-2013,5,2,4,2,1,5,4,3
42CC-040A,Female,29,Some Travel,Human Resources,29,2,Technical Degree,Recruiter,49606,No,05-01-2012,Yes,6,1,1,6,13-05-2017,4,3,5,1,2,4,4,3
541F-3E19,Female,27,Some Travel,Technology,30,1,Information Systems,Data Scientist,49374,Yes,02-04-2014,Yes,1,0,0,1,04-01-2013,5,2,3,1,0,4,4,3
541F-3E19,Female,27,Some Travel,Technology,30,1,Information Systems,Data Scientist,49374,Yes,02-04-2014,Yes,1,0,0,1,03-01-2017,3,4,5,3,1,5,3,3
541F-3E19,Female,27,Some Travel,Technology,30,1,Information Systems,Data Scientist,49374,Yes,02-04-2014,Yes,1,0,0,1,04-01-2014,5,5,5,2,1,2,5,5
541F-3E19,Female,27,Some Travel,Technology,30,1,Information Systems,Data Scientist,49374,Yes,02-04-2014,Yes,1,0,0,1,03-01-2018,4,4,2,1,0,4,3,2
C219-6C2E,Male,34,Some Travel,Sales,30,2,Marketing,Sales Executive,133468,No,05-01-2012,No,10,3,7,9,22-11-2016,4,4,2,3,1,5,4,4
C219-6C2E,Male,34,Some Travel,Sales,30,2,Marketing,Sales Executive,133468,No,05-01-2012,No,10,3,7,9,22-11-2017,5,5,2,1,2,4,5,4
F93E-BDEF,Male,43,Some Travel,Technology,17,4,Information Systems,Machine Learning Engineer,130848,Yes,09-02-2014,No,8,8,8,8,04-01-2013,3,3,2,2,0,4,4,4
F93E-BDEF,Male,43,Some Travel,Technology,17,4,Information Systems,Machine Learning Engineer,130848,Yes,09-02-2014,No,8,8,8,8,03-01-2017,3,5,5,1,2,2,5,5
F93E-BDEF,Male,43,Some Travel,Technology,17,4,Information Systems,Machine Learning Engineer,130848,Yes,09-02-2014,No,8,8,8,8,04-01-2014,5,5,5,2,2,2,3,2
F93E-BDEF,Male,43,Some Travel,Technology,17,4,Information Systems,Machine Learning Engineer,130848,Yes,09-02-2014,No,8,8,8,8,03-01-2018,5,4,4,2,3,5,5,4
D906-B674,Female,42,No Travel ,Technology,45,3,Information Systems,Engineering Manager,259284,No,09-01-2012,No,10,2,6,6,17-07-2016,3,3,3,2,1,3,5,4
